Team brjFEj: 1939652216 points, rank 1
Team wFRVa: 486644187 points, rank 152001
Team DClUFHrAqnyMlC: 877292141 points, rank 119096
Team pKoNeSsVXrCSFWFiXf: 202035776 points, rank 174882
Team JgddnYMK: 1441513155 points, rank 71053
Team ZfppfxNqKP: 155225359 points, rank 178508
Team bunHrLQ: 913257714 points, rank 116056
Team APuOSjGutwzcMKCK: 492011847 points, rank 151553
Team bsEmdHTRosriGjBgIzB: 2085914006 points, rank 19333
Team fsBNNF: 210152506 points, rank 174302
Team HGAcpui: 1656444707 points, rank 53297
Team rppSSISXBxP: 2042736339 points, rank 22637
Team PILiROrjHiBVfZqQ: 1392549749 points, rank 75252
Team QvucDINbvBdJCN: 324189657 points, rank 165214
Team lGiStDaUgyTSuPU: 1786746767 points, rank 42850
Team VxUqvSBIyhRLyQBayuP: 779769435 points, rank 127382
Team eUcoNPSVJnvpET is ELIMINATED
Team iqOJfSZECfSkhhJvMCe: 1354290393 points, rank 78448
Team mIIcnSMX: 974879057 points, rank 110794
Team psqznJHfhvPXgXBO: 487591929 points, rank 151990
Team DUqcrIXgwQU: 77087896 points, rank 184685
Team VMlqDTITPxkydiwryl: 888439873 points, rank 118240
Team FazbhceTGEUhRGsAMXKI is ELIMINATED
Team XqEeQQFdEAkLYLArXN is ELIMINATED
Team QgyaICzHGaRSnvHd: 1353146230 points, rank 78569
Team feGflduJNpV: 1074200767 points, rank 102288
Team pQhnPfIEYKNwUwD: 1155357418 points, rank 95380
Team qYcxndzdtumGPdMsn: 33990362 points, rank 188026
Team xJePHndswEfgIt: 395612292 points, rank 159568
Team ozmEQrVxYhBBWsLL: 853993278 points, rank 121235
Team NAdffqeuXvRkwkiUJ: 730415950 points, rank 131736
Team sZxDx: 924172259 points, rank 115186
Team bslVgmWbgBOp: 1955766678 points, rank 29359
Team JspwuILFbBZPoWAip: 2069112402 points, rank 20591
Team pteueoirJrfBHeujF is ELIMINATED
Team SRzrR: 1160822202 points, rank 94936
Team hNoIG: 787922116 points, rank 126767
Team THXtjSwQmyPoE: 1758740623 points, rank 45147
Team wrvfRtlqHxJRCXcdqYav: 210213844 points, rank 174429
Team zlntoxXWpHQuC: 102782095 points, rank 182808
Team HsRxuSTscBRXl: 641435750 points, rank 139218
Team OrSlnEwixu: 522368696 points, rank 149223
Team vRvPmqwZpGmpxabgsgkw: 1741354627 points, rank 46541
Team TgcZWyKAoklwLHo: 1358832105 points, rank 78133
Team wsstCQCSKpYp: 1271807447 points, rank 85491
Team uLrMwqrXvHrJYacNskVM: 1132368853 points, rank 97349
Team wZNOcw: 1520273075 points, rank 64654
Team uspHxcsdb: 913791126 points, rank 116137
Team ZiVMRufya: 68645922 points, rank 185439
Team jfBqDf: 1863891380 points, rank 36708
Team hGDYdxVMl: 595745111 points, rank 143133
Team NzqnzXILKUaFVw: 1578055468 points, rank 59833
Team DweJvDVxQoYCRQRFScya: 1604351703 points, rank 57694
Team VCmzCSdedptOg: 199567607 points, rank 175292
Team ISemOhs: 1973092317 points, rank 28040
Team DAcRKvZUjbNwxZxN: 284321730 points, rank 168615
Team cXJXMXfiytumQtfO: 1514540405 points, rank 65135
Team ZZNCNo: 3403437173 points, rank 1036
Team IlKThOHiuJ: 100555986 points, rank 183087
Team vrnrpjj is ELIMINATED
Team OVzAtVo: 624913807 points, rank 140732
Team gPTOULqr: 1887086758 points, rank 34921
Team NaWCIuDuY: 1151958291 points, rank 95727
Team ATIPxwfFZZkYoZtBYUT: 163050507 points, rank 178169
Team lJlMaEFrtQEUdYCNByEV: 1133210104 points, rank 97316
Team vrGERIusAH: 164601775 points, rank 178049
Team apTSulAjACSAJ: 1208065020 points, rank 90823
Team NcbnVFIRXalmZpXaSAW: 767130712 points, rank 128651
Team idKKrKGURIhcJrtm: 2622514320 points, rank 6979
Team bjguxMqrvHLGhDSdi: 2063825422 points, rank 21054
Team qTGCUhC: 3267303405 points, rank 1610
Team JRBeuiFh: 1841830162 points, rank 38513
Team HKYUxIIz: 784094776 points, rank 127209
Team sZriuKpYpe: 1082111938 points, rank 101736
Team ERJiCZmOpGAIKTSfAIr: 2025830787 points, rank 23947
Team aIagJRFKONSkzNlaOKp: 1850431999 points, rank 37816
Team garamnIXBQZs: 1008293540 points, rank 108059
Team nXYLrlwBSdrRHJ: 832976281 points, rank 123161
Team tKIbvkDcGfdyF: 2660537514 points, rank 6527
Team kOPnvrQbuBkXDyKpio: 48388609 points, rank 187164
Team CCWmYPLISVb: 2734246663 points, rank 5693
Team XjvLg: 938840541 points, rank 114062
Team YuwxgWFUfI: 46202451 points, rank 187336
Team CWfNUVymOBiXlmzWEi: 1900230928 points, rank 33781
Team aoBwgflpE: 1727607944 points, rank 47697
Team arzSfRzykrwYb: 2892806357 points, rank 4109
Team rWZYAdGuPyihskyN: 2122426899 points, rank 16602
Team FrvhkzHsciZyDfGctw: 2037161947 points, rank 23113
Team rNPltj: 1056756097 points, rank 103898
Team bDaEiVJmFBDLphA: 2059398274 points, rank 21447
Team kjmAieVkxzso: 1152269347 points, rank 95756
Team GwdekBWLKpRiuyzL: 2006825053 points, rank 25453
Team bjBKnCsvXaHTGIz: 1820797482 points, rank 40212
Team EPZoBOwpMiTdAJHK: 505340240 points, rank 150800
Team iXBYgWuZRChhgsvP: 1777695024 points, rank 43692
Team rCyNhd: 1533870188 points, rank 63575
Team KEqhkLv: 1973636840 points, rank 28018
Team PKbjtDhJYPWmhk: 842009367 points, rank 122440
Team oxuHbaqqWAHuQbD: 942426921 points, rank 113773
Team zbbLQodbuYYBvBD: 992544296 points, rank 109514
Team lTKKkhjEjuTwzVuNKpAq: 1025879491 points, rank 106584
Team WAMcAWtSDq: 1038053579 points, rank 105540
Team tFjhZBvY: 1764573061 points, rank 44730
Team DxsJuF: 1616499768 points, rank 56758
Team MlKFL: 1925653987 points, rank 31769
Team PJiJUxASGcCsRDztK: 1873728911 points, rank 36056
Team xHVTVAsAfcxIfYfDpk: 2380195785 points, rank 10495
Team ifoyPtrCEDhia: 871936405 points, rank 119945
Team NgyvfoFPl: 2597340765 points, rank 7304
Team RvxQwauFNeLHbgAweat: 452226091 points, rank 155247
Team VdAPdPhXbNOuf: 232885255 points, rank 172985
Team cUgeXsS: 1982072512 points, rank 27372
Team kiQslsy: 88205427 points, rank 184258
Team rCJGFswnBlEbyDh: 2125489799 points, rank 16397
Team itTzgdmOFUsEsfKWDGJW is ELIMINATED
Team KpOdZvZYoPUSeUY: 1479907268 points, rank 68081
Team IIuSzXFPPsvHbd: 1692777842 points, rank 50540
Team HmZJvuR: 305070365 points, rank 167183
Team dVSwoCKe: 1428906463 points, rank 72408
Team UIrXbCqrhXplInYENkBQ: 396333371 points, rank 159850
Team CEaMtSZSZcRBNg: 240392622 points, rank 172402
Team NppdhJKwjur: 697754479 points, rank 134821
Team MLfkvHMA: 2888051174 points, rank 4157
Team YkTzoPnUbRdsVFmpYon: 363052789 points, rank 162567
Team LgLfJGhSwbAxQJiBqsbZ: 787419974 points, rank 127082
Team wIYen: 626280643 points, rank 140819
Team qPPXa: 1110954697 points, rank 99320
Team FrxIQM: 572009609 points, rank 145352
Team gKyValTLJpnoXFhYvrI: 1217788515 points, rank 90160
Team objghZUxYxQwOapgFAeY is ELIMINATED
Team hdMAQmgwiwiQG: 1572116114 points, rank 60422
Team XqYlFWaJsc: 765896157 points, rank 128974
Team PMdgJVLmJGTBT: 1458400783 points, rank 69888
Team VthIyHzgHYoQp: 278800112 points, rank 169342
Team JFhRSroBkBCA: 150981859 points, rank 179429
Team NncPqxcCOPfxjgwITzMZ: 759972343 points, rank 129500
Team pTmtueMKhDbKYFAdn: 2062798992 points, rank 21184
Team qLtYweaMSFhNln: 1986642115 points, rank 27044
Team AYoIGsfNEjJ: 141749844 points, rank 180163
Team ahTTPsMzRVYJNpXMYuC: 510915736 points, rank 150533
Team LQxaLlb is ELIMINATED
Team yILxvWeaiXzVHwVjnGOf: 1652145967 points, rank 53838
Team rwQEGnQuWaM: 958892487 points, rank 112496
Team KGrGi: 102335449 points, rank 183312
Team ZyjWcbDCCDAs: 371243903 points, rank 161970
Team qXBLCrtSia: 1821196839 points, rank 40246
Team hjkyMzQ: 1049969320 points, rank 104620
Team QwvEJuET: 2129473222 points, rank 16103
Team EEFYct: 563857523 points, rank 146119
Team VUzSMZECgcvh: 747707786 points, rank 130626
Team JCgujUZjoZqZvTmJWTUc: 41662676 points, rank 188062
Team KbnPzTYnrnjgu: 481321864 points, rank 153030
Team XcQPBpgCAnk: 1569485984 points, rank 60689
Team cVFeVrWz: 1632665779 points, rank 55492
Team PvCOOptrSxlLBD: 1683462939 points, rank 51334
Team bBvDOLJRxjII: 2218812871 points, rank 13309
Team ANScAPyvkjVXVx: 1246162248 points, rank 87924
Team FzqMxDXXcxfXXzVJeai: 1882786299 points, rank 35361
Team ouhakXjHhtMUUq: 1597909515 points, rank 58394
Team ZzIAoZA: 3298011991 points, rank 1452
Team DqwQwX: 1513495657 points, rank 65385
Team yYMCXmE: 1374549453 points, rank 77093
Team qRLEUXMfryaHXC: 1039626231 points, rank 105593
Team PhTEWlueazY: 94859053 points, rank 183970
Team KHgvv: 1990636048 points, rank 26783
Team fZesKuj: 673840694 points, rank 137007
Team IeFMpKNGp: 974480997 points, rank 111275
Team MXAgYK: 803608888 points, rank 125887
Team wLSVWNwx: 1097043806 points, rank 100657
Team ZZdCoph: 428235301 points, rank 157467
Team VFnJLbogWFNzLgAE: 586543117 points, rank 144357
Team MbbCBUz: 190106170 points, rank 176544
Team GiOMzijGK: 2047032557 points, rank 22394
Team kIMUkPTF: 1337898019 points, rank 80212
Team lXPNYKg: 707763093 points, rank 134173
Team uPRCBo: 1713159949 points, rank 48984
Team qjdLhXmFj: 1504394375 points, rank 66186
Team jeIUrU: 1435557462 points, rank 71922
Team jRMebDteHCRyFTOI: 160732386 points, rank 178870
Team ZvGbIbRYMVczeJCaiaj: 1851837843 points, rank 37792
Team GeomwqMpC: 1089964424 points, rank 101308
Team cnnnIzsrSWFf: 1217102337 points, rank 90365
Team acoWFZSZzR: 868276590 points, rank 120488
Team rgtsovqcyX: 486343419 points, rank 152734
Team qaKvtkmolQkIxq: 954374717 points, rank 113046
Team STsxPKTCVlayraO: 769914808 points, rank 128813
Team KaBfdlpcJVqLKQPCYDZ: 1051585943 points, rank 104611
Team ficJCNxkAgZZqaeaQhLQ: 2126125499 points, rank 16358
Team tSeyZcRW: 1699385460 points, rank 50084
Team PHTStJXCX: 366190363 points, rank 162574
Team glhfD: 1480722421 points, rank 68161
Team WxajUFekbkLbCpuEnas: 1317797415 points, rank 81960
Team tTEEBHfHUYo: 206215568 points, rank 175405
Team naemyPQQddHyCjxOgtP: 527346523 points, rank 149367
Team GwQFOOcDWJSare: 948273509 points, rank 113584
Team MplMIwO: 3207292555 points, rank 1916
Team yHlGFtbHayPI: 1217182736 points, rank 90392
Team iHsIFPlBsPCXO: 1771100561 points, rank 44286
Team rxhvJL: 1706722383 points, rank 49514
Team WqBLHj: 45880974 points, rank 187933
Team ikMCesd: 579529272 points, rank 145047
Team RWelF is ELIMINATED
Team ivLQwVjyMRXTKA: 2817809238 points, rank 4823
Team AepaTAjmSIbkpPIWVvgg: 132536160 points, rank 181217
Team FNfevlj: 812188415 points, rank 125235
Team UVKgLLerOhvdsD: 351147749 points, rank 163862
Team gDAZDHvLc: 1032642915 points, rank 106275
Team oDQvKsgPCgYtEJbD: 2658425439 points, rank 6568
Team iTMVIumPtFWTsX: 1975089503 points, rank 27945
Team SjroDVHXwEOpho: 551644784 points, rank 147429
Team LPofZZlQEUMATsvZDCA: 515667610 points, rank 150427
Team erWGryZVNbQOKorgphV: 1154704079 points, rank 95864
Team XvRBfKl: 1372973602 points, rank 77322
Team PXYcPDR: 1890157091 points, rank 34754
Team iHQOFWVKNQy: 914498864 points, rank 116570
Team vKohwDywOkHhcMno: 2039341771 points, rank 23003
Team JIlLwSNuogsTci: 196829338 points, rank 176223
Team cmHOEltbOXPBVUVv: 1827247658 points, rank 39815
Team JkeAjsRQVFYLNkddBLJ: 2140684171 points, rank 15274
Team krLKTuEb: 207109661 points, rank 175465
Team rgyJuhNaYw: 809330955 points, rank 125553
Team tUUhRcM: 1147298516 points, rank 96506
Team vgunsgzXUATVYfumOKG: 454102227 points, rank 155518
Team VPHdUPXDmg: 292505230 points, rank 168628
Team gpggZsfrndDRpmNiK: 160335040 points, rank 179094
Team nPESRibDOEqoP: 629652426 points, rank 140843
Team YuflJWwSCLTcuELXCB: 829175529 points, rank 123931
Team qCwootJ: 1676507672 points, rank 51995
Team VIdNPBo: 515190666 points, rank 150517
Team naajELUmmDGQgBRR: 3649698204 points, rank 404
Team skuwkscLRDYNUYCFV is ELIMINATED
Team IHOtTnT: 983101570 points, rank 110693
Team CISixATKKkWIPeOVxyGg: 1175752463 points, rank 94089
Team QDiOGfWHbsyoQmq: 465838989 points, rank 154588
Team QwaPjiXoc: 2458544765 points, rank 9341
Team rDgailGZJyCticIHYyNS: 1963085377 points, rank 28895
Team qaZOSKPeZlSkYs is ELIMINATED
Team VOizArkd: 2816491350 points, rank 4845
Team cgmZUX: 20318939 points, rank 190016
Team EXipuA: 1561153773 points, rank 61486
Team sZUADMZ: 1775938975 points, rank 43963
Team gGDUKLfidaWVhGmUvJU: 2547597826 points, rank 7979
Team Zfjpf: 867561873 points, rank 120682
Team IxrRwKpQEIryDDXQNYAK is ELIMINATED
Team BZZSYEEDGrvOuV: 1595153343 points, rank 58706
Team qoZHqbiZ: 586707929 points, rank 144575
Team EPCQKzsmkCYmlUEN: 712198200 points, rank 133987
Team MkUPnjG is ELIMINATED
Team PfXhaNGXzDlC: 190706962 points, rank 176794
Team KavkuKMzuuN: 2115394831 points, rank 17187
Team AMSqNSgmkPVCurQYAt: 1283093747 points, rank 84993
Team hvHGVPXezEETAhIiGisy: 3091635741 points, rank 2593
Team AREuClc: 1477433116 points, rank 68495
Team WXkNnogFLlp: 774916418 points, rank 128502
Team qqvUYQP: 1951836479 points, rank 29793
Team xqFqNzMRClj: 1331563169 points, rank 80870
Team ICBPJZ: 1945742255 points, rank 30288
Team ujDygKrSbDMdvWQRBNMv: 362796515 points, rank 163090
Team cTjywAHgj: 1986278792 points, rank 27130
Team qohIvZETXNChDiOGvZ: 1266461628 points, rank 86395
Team fGSkv: 119281883 points, rank 182450
Team rpdOlfeOzWUi: 633849818 points, rank 140566
Team TYZTHadMHZjMVmQ: 1269437895 points, rank 86160
Team xBCFDHUZisROYKnHINq is ELIMINATED
Team BKsBanRQOOcEMMKW: 1515561083 points, rank 65351
Team UNeyBPDMNeJKvwCu: 961892360 points, rank 112580
Team xKhffMRY: 809695462 points, rank 125610
Team QfCpnFMqghzYOoy: 1109320929 points, rank 99775
Team hitTDEwlQsvfbLKAsnIS is ELIMINATED
Team mtkhSRPlOATcc: 404162389 points, rank 159770
Team VQhudhTkwbJnBbwEI is ELIMINATED
Team naiAhMemZkIi: 1847374559 points, rank 38215
Team AALlFhrG: 1156387147 points, rank 95856
Team tnzFiXlMMAgjujOsVwQF: 72931125 points, rank 186110
Team NNBGLeTqXpLX: 1424625950 points, rank 73065
Team SgoUpDfZjyRataJJZQ: 783127382 points, rank 127873
Team isvFYiGbIBqMhx: 3272639016 points, rank 1576
Team BTsLCMZrX: 288791112 points, rank 169116
Team hmduxIRqFCWTviSfIco: 1779093707 points, rank 43748
Team pUPeMnGbyRJxiQkQj: 2035407797 points, rank 23327
Team ryEpLFiuTXhDoNzKyOy is ELIMINATED
Team IJgOdHCgE: 2147364280 points, rank 14769
Team eogefQwtOZfQ: 866187993 points, rank 120922
Team dtptqvbShkoJ: 2177029414 points, rank 14152
Team ulEcs: 707563937 points, rank 134500
Team GuTGzPFkQEzYlKpoXR: 924259791 points, rank 115885
Team jdpERzvYddEmcjZE: 2616114735 points, rank 7084
Team otHeoaEGzPQDTU: 1850379036 points, rank 37989
Team rOLwKIrJzQghzTuOtR: 86558601 points, rank 185142
Team cDkTTdaVdoi: 1476716771 points, rank 68619
Team JeJLFAwgjWZnCOzKl: 1817251763 points, rank 40713
Team hTWftxoXaobF: 432710012 points, rank 157510
Team BXNGWRJCXBvaByeYeRDq: 383891075 points, rank 161537
Team ijAAdRkVjDn is ELIMINATED
Team QVFQwX: 2621995883 points, rank 7011
Team qbnORurDDkN: 1840652451 points, rank 38800
Team WTotFmgSebOoccjrM: 1248849958 points, rank 87987
Team EfssABY: 269899135 points, rank 170805
Team xDFCyCxLYwPMQg: 111370901 points, rank 183318
Team bjmXeuuaSYfCusSGGUy: 396599809 points, rank 160544
Team LJVgzLVGcGztclI: 2508940053 points, rank 8581
Team rNKtOcUIP: 1893209446 points, rank 34561
Team EiCWQeUQZqlnXmby: 1686295569 points, rank 51253
Team MxaZHTx: 2035497768 points, rank 23335
Team TsNphqhwhnGafhGtv is ELIMINATED
Team pOGhXyDBUweT: 1781603373 points, rank 43581
Team FsopzVrtKBkXji: 1591415229 points, rank 59097
Team FrRCgLXeSfhDXHepICln: 1614579737 points, rank 57151
Team FjtmrahTwcputTgD is ELIMINATED
Team HnKaSqk: 2342446599 points, rank 11174
Team OxmUEpvSOTMN: 1075825255 points, rank 102888
Team blwRaHuvYCEmcu: 1059864694 points, rank 104241
Team EpUDhKimfiWDO: 1031149587 points, rank 106666
Team YAMXErKlhWsQTFXCL: 1467145106 points, rank 69465
Team vBpqbhYG: 2811443054 points, rank 4896
Team GFChHflSqboGrv: 988013225 points, rank 110486
Team evlGFdeNwesxkyw is ELIMINATED
Team uaengGrLiddiOsomhAc: 736511207 points, rank 132073
Team YEaEulhQIJgctIiqP: 95047263 points, rank 184630
Team atsMnw: 1597270981 points, rank 58628
Team RLotYEiCjPM: 2070394940 points, rank 20604
Team hGZAkdjpUlqXaFUd: 542057002 points, rank 148551
Team OotMbIh: 1735734404 points, rank 47306
Team BHiqDWWwcDPX: 514335991 points, rank 150927
Team aoDWgqHf: 315068269 points, rank 167199
Team qsCAR: 458655254 points, rank 155495
Team cvdGR: 1320739359 points, rank 81954
Team qfJNuQgLPiHGU: 466877167 points, rank 154820
Team mVQLfMQAqW: 389475618 points, rank 161226
Team BFoGJD: 2542605503 points, rank 8077
Team jKuznD: 1260217815 points, rank 87072
Team eKuuczfVwFg: 785532591 points, rank 127875
Team NLauLDfNCouaTGxx: 1043389916 points, rank 105671
Team trkMLvXm: 1704325855 points, rank 49819
Team ZzrUKQmLvBmlEobggE: 25215219 points, rank 190082
Team gbNuqefpcHFr: 78575763 points, rank 185962
Team ttEygSWFLVVeD: 566329889 points, rank 146574
Team AobxWZCoqGpe: 253085720 points, rank 172270
Team ETGnkogPdRsApGl is ELIMINATED
Team nEMwZFWzMcDqkmZFN: 798188787 points, rank 126830
Team MjXCrWj: 1113403911 points, rank 99597
Team PxsxfcMEMnVIiPb: 2412173644 points, rank 10032
Team pedyWazaoh: 917390729 points, rank 116648
Team jluiZWrqOZ: 2384912778 points, rank 10461
Team GkrWe: 734781667 points, rank 132291
Team lBFBWfFMNZsOu: 1186003028 points, rank 93345
Team HfolTSpzGRGelk: 1375918326 points, rank 77284
Team FcXIWHadhQy: 393063997 points, rank 160954
Team WVmaVKYMluhrNz is ELIMINATED
Team NgIWNLWFXfC: 2262724276 points, rank 12545
Team hkKbELIWTKNu: 576626924 points, rank 145742
Team CdgMQBSLMYIr: 1698182694 points, rank 50353
Team OapeYoRVfheOokrYxs: 283662366 points, rank 169820
Team MgVKtHyMxltAqfthtzja: 1191597597 points, rank 92892
Team rdVZEZGCVuGpyrqkpRz: 883667995 points, rank 119548
Team HEBJpiws: 2023168723 points, rank 24279
Team eaWTEBiUoFbfMxoJuENU: 2033889769 points, rank 23455
Team TjmqCCxmRUwc: 743029297 points, rank 131605
Team sgZypPttjncxi: 710365104 points, rank 134455
Team nnlVpnBiadHrX: 1298928623 points, rank 83867
Team nUUWHNFDLUWEzzIw: 12495973 points, rank 191191
Team XdKJIAetCovWisMWIW: 68857725 points, rank 186808
Team ahajzpmGJnEsEg: 1480857896 points, rank 68395
Team GAHNLIYSazQkTgqg: 1024856235 points, rank 107339
Team GcxvIW: 1399241156 points, rank 75334
Team GSWsIqZwJkfieofGBjU: 763499750 points, rank 129875
Team OuCoVHlOmnMaXB: 1969393865 points, rank 28525
Team XvbjwcGMDlG: 193924880 points, rank 177030
Team ErZNSAtesrbC: 2010442669 points, rank 25291
Team RZjrSeVxZ: 2096422232 points, rank 18701
Team WZAbjCSW: 324018706 points, rank 166624
Team KycNXS: 325203440 points, rank 166538
Team eyHejSwYUKzbkR: 1228319137 points, rank 89848
Team ykobOrUp is ELIMINATED
Team rkOkZTWvDbKlBCn: 797488084 points, rank 126996
Team lkPIzMTZHQMapGXqm is ELIMINATED
Team gaezWmstxqetmO: 337289636 points, rank 165602
Team yumrZCAKw: 253321631 points, rank 172414
Team YkEtVoumudj: 1238614973 points, rank 88994
Team cBqCmzLkNarGI: 1457681618 points, rank 70366
Team GSpaNKL: 1950031668 points, rank 30034
Team enUQXmboYx: 437181377 points, rank 157460
Team BtXlxkdjcipqkMyvDd is ELIMINATED
Team zbwSSLHA: 1896645084 points, rank 34318
Team xDVFzSSwcEjEIezcH: 1113477168 points, rank 99715
Team QvNFISTgQVeTuff: 456111923 points, rank 155912
Team hYAeNhoUZfhg: 434279282 points, rank 157711
Team pbTTiQa: 1379126073 points, rank 77144
Team IgrIA: 1494869136 points, rank 67277
Team WugNImvJORtJeBmFTpf: 1659975982 points, rank 53459
Team awaksJKOh: 1969489352 points, rank 28539
Team pOImQGeSslazMYMDvemp: 126502657 points, rank 182478
Team eTxGexAy: 1849157185 points, rank 38176
Team uCVgbdgENVATsglVBOI: 1173569643 points, rank 94628
Team RQOmWnSjNftBLqTB: 2002928989 points, rank 25928
Team CdhfNcXvKuXBUg: 1721553856 points, rank 48545
Team qjhuceMvKMKSkuNwquy: 1419230685 points, rank 73731
Team pMQxRuBAkEuFatN: 848756841 points, rank 122759
Team SqfuFbXZCOfGvyuHpYc: 1642310067 points, rank 54971
Team GTjPthPALvursPoA: 582780090 points, rank 145437
Team DgueWEPWkCLDOWRPqBW: 564595327 points, rank 146946
Team AZyMRdg: 1105301255 points, rank 100456
Team UqdYeCjbNT: 2022963446 points, rank 24323
Team GDsNgOxOX: 1179941408 points, rank 94055
Team BJccTZVD: 218053651 points, rank 175350
Team WIhElnjnECHyfpLxB: 2030855934 points, rank 23716
Team lHbDutTeNZSNiG: 1646806632 points, rank 54589
Team VOMYKnxnsOYGvplIeqiJ: 915630195 points, rank 116979
Team uRDxnMxvHXHVdhOSd: 522250127 points, rank 150536
Team JNSMeyPb: 1988640528 points, rank 27052
Team MqmlKPsmVZLfpmkYX: 1490186852 points, rank 67707
Team nAMGzZxOvm: 1739263985 points, rank 47092
Team xpxOApkvQTnocWTw: 2810752370 points, rank 4917
Team EqWOB: 1050538446 points, rank 105229
Team XeULxuscA: 548201084 points, rank 148355
Team ePZTnZAQuVqyx: 1658294394 points, rank 53628
Team QtxOLa: 36442458 points, rank 189581
Team UMqKuWPDIVMJCN: 1180220505 points, rank 94053
Team ciVlwsViWj: 12130154 points, rank 191458
Team NMrZvIhAONo: 654702797 points, rank 139317
Team QJvVhIgOvDLKSnaXhUbT: 737860749 points, rank 132244
Team YWuYM: 765713186 points, rank 129834
Team EDqnMewVQT: 2287603881 points, rank 12140
Team WtkcbAdksqYlpeneM: 816183377 points, rank 125515
Team CwNCGgeM: 489899774 points, rank 153214
Team FRhCfZAwTHh: 11708905 points, rank 191507
Team UYFUfHA: 354167259 points, rank 164385
Team KAvXjmFZpgxoaoa: 2033764489 points, rank 23512
Team mjYzYFCrvtyrdW: 1575783988 points, rank 60509
Team DBspis: 1085419405 points, rank 102277
Team CpSsPaHVHpkYUXrkUm: 635742580 points, rank 140932
Team gsErYPqxsETguhuE: 1078805088 points, rank 102890
Team JGvuhFEn: 1520191900 points, rank 65239
Team bAoMoCAJhRqr: 918214821 points, rank 116816
Team JaeXCFlC: 927741809 points, rank 115983
